Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
3153175,1,2,1,2,0,1,0,2,2,1,9,0,300,645,1,5556,,0,,1,225
3153175,1,2,1,2,0,1,0,2,2,2,0,0,730,1630,0,5623,0,45,20.37,1,540
3153175,1,2,1,2,0,1,0,2,2,3,9,0,1700,2700,1,5556,0,30,20.37,1,600
3153175,1,2,1,2,0,1,1,0,2,1,9,0,300,745,1,5556,,0,,1,285
3153175,1,2,1,2,0,1,1,0,2,2,6,0,800,1100,0,5556,1,15,0,1,180
3153175,1,2,1,2,0,1,1,0,2,3,9,0,1115,2700,1,5556,1,15,0,1,985
3253149,2,0,1,2,0,0,0,0,2,1,9,0,300,1015,1,5652,,0,,1,435
3253149,2,0,1,2,0,0,0,0,2,2,3,0,1025,1045,0,5652,1,10,0,1,20
3253149,2,0,1,2,0,0,0,0,2,3,9,0,1100,1350,1,5652,1,15,0,1,170
3253149,2,0,1,2,0,0,0,0,2,4,3,0,1430,1500,0,5684,1,40,10.3,1,70
3253149,2,0,1,2,0,0,0,0,2,5,9,0,1530,1630,1,5652,1,30,10.3,1,60
3253149,2,0,1,2,0,0,0,0,2,6,7,0,1700,1850,0,5611,1,30,4.04,1,110
3253149,2,0,1,2,0,0,0,0,2,7,6,0,1900,1940,0,5612,1,10,1.75,1,40
3253149,2,0,1,2,0,0,0,0,2,8,9,0,2000,2700,1,5652,1,20,2.86,1,420
3351147,3,1,1,1,0,1,0,2,1,1,9,0,300,730,1,5017,,0,,1,270
3351147,3,1,1,1,0,1,0,2,1,2,0,0,807,1740,0,5651,0,37,32.12,1,573
3351147,3,1,1,1,0,1,0,2,1,3,5,0,1825,2005,0,5038,0,45,34.14,1,140
3351147,3,1,1,1,0,1,0,2,1,4,9,0,2020,2700,1,5017,0,15,2.21,1,440
3451130,4,3,3,1,3,1,0,2,1,1,9,0,300,815,1,2718,,0,,1,315
3451130,4,3,3,1,3,1,0,2,1,2,1,0,915,1300,0,3512,2,60,51.77,1,265
3451130,4,3,3,1,3,1,0,2,1,3,0,0,1345,1745,0,2511,2,45,63.91,1,240
3451130,4,3,3,1,3,1,0,2,1,4,9,0,1800,1900,1,2718,2,15,16.5,1,60
3451130,4,3,3,1,3,1,0,2,1,5,7,0,1930,2400,0,2545,0,30,22.06,1,310
3451130,4,3,3,1,3,1,0,2,1,6,9,0,2430,2700,1,2718,0,30,22.06,1,190
3451130,4,3,3,1,3,1,1,1,1,1,9,0,300,630,1,2718,,0,,1,210
3451130,4,3,3,1,3,1,1,1,1,2,0,0,645,1200,0,5641,1,15,116.91,1,355
3451130,4,3,3,1,3,1,1,1,1,3,9,0,1215,2700,1,2718,1,15,116.91,1,925
4102139,1,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,,0,,1,1440
4104110,1,3,0,1,1,2,1,2,1,1,9,0,300,915,1,5623,,0,,1,375
4104110,1,3,0,1,1,2,1,2,1,2,7,0,945,1100,0,5644,0,30,6.61,1,115
4104110,1,3,0,1,1,2,1,2,1,3,9,0,1130,1310,1,5623,0,30,6.61,1,140
4104110,1,3,0,1,1,2,1,2,1,4,4,0,1325,1615,0,5652,3,15,4.83,1,210
4104110,1,3,0,1,1,2,1,2,1,5,9,0,1630,2700,1,5623,3,15,4.83,1,670
4104110,1,3,0,1,1,2,0,2,0,1,9,0,300,1310,1,5623,,0,,1,610
4104110,1,3,0,1,1,2,0,2,0,2,4,0,1325,1615,0,5652,0,15,4.83,1,210
4104110,1,3,0,1,1,2,0,2,0,3,9,0,1630,2700,1,5623,0,15,4.83,1,670
4106115,1,3,3,1,0,1,0,2,1,1,9,0,300,800,1,5611,,0,,1,300
4106115,1,3,3,1,0,1,0,2,1,2,0,0,825,1702,0,5611,0,25,,1,557
4106115,1,3,3,1,0,1,0,2,1,3,1,0,1715,1720,0,5615,0,13,,1,5
4106115,1,3,3,1,0,1,0,2,1,4,9,0,1740,2700,1,5611,0,20,1.57,1,600
4106115,1,3,3,1,0,1,1,1,1,1,9,0,300,800,1,5611,,0,,1,300
4106115,1,3,3,1,0,1,1,1,1,2,0,0,820,1720,0,5615,3,20,1.57,1,540
4106115,1,3,3,1,0,1,1,1,1,3,9,0,1740,2700,1,5611,3,20,1.57,1,600
4107128,1,2,3,1,0,2,0,2,1,1,9,0,300,835,1,5627,,0,,1,335
4107128,1,2,3,1,0,2,0,2,1,2,0,0,855,1935,0,5657,0,20,5.62,1,680
4107128,1,2,3,1,0,2,0,2,1,3,9,0,1950,2700,1,5627,0,15,5.62,1,470
4107128,1,2,3,1,0,2,1,0,1,1,9,0,300,1345,1,5627,,0,,1,645
4107128,1,2,3,1,0,2,1,0,1,2,3,0,1347,1415,0,5627,0,2,0,1,68
4107128,1,2,3,1,0,2,1,0,1,3,9,0,1417,1840,1,5627,0,2,0,1,263
4107128,1,2,3,1,0,2,1,0,1,4,9,0,1900,2230,0,5652,0,20,6.81,1,210
4107128,1,2,3,1,0,2,1,0,1,5,9,0,2250,2700,1,5627,0,20,6.81,1,290
4107171,1,3,2,1,0,1,0,2,1,1,9,0,300,715,1,5711,,0,,1,255
4107171,1,3,2,1,0,1,0,2,1,2,0,0,745,1635,0,5643,3,30,21.53,1,570
4107171,1,3,2,1,0,1,0,2,1,3,9,0,1710,1845,1,5711,3,35,21.53,1,95
4107171,1,3,2,1,0,1,0,2,1,4,6,0,1854,2002,0,5711,1,9,0,1,108
4107171,1,3,2,1,0,1,0,2,1,5,9,0,2015,2023,1,5711,1,13,0,1,8
4107171,1,3,2,1,0,1,0,2,1,6,6,0,2026,2054,0,5711,1,3,0,1,28
4107171,1,3,2,1,0,1,0,2,1,7,9,0,2057,2700,1,5711,1,3,0,1,403
