SrNo;Hhid;Day;Comp;SEC;Age;Child;Ncars;Gend;Wstat;AgeP;Actnr;Atype;With;BT;ET;Home;PPC;Mode;TravTime;TravDist;Eindhoven;Dur
1;3153175;1;2;1;2;0;1;0;2;2;1;9;0;300;645;1;5556;NA;0;NA;1;225
5;3253149;2;0;1;2;0;0;0;0;2;1;9;0;300;1015;1;5652;NA;0;NA;1;435
9;3351147;3;1;1;1;0;1;0;2;1;1;9;0;300;730;1;5017;NA;0;NA;1;270
11;3451130;4;3;3;1;3;1;0;2;1;1;9;0;300;815;1;2718;NA;0;NA;1;315
16;4102139;1;0;0;4;0;0;1;0;4;1;9;0;300;2700;1;5611;NA;0;NA;1;1440
17;4104110;1;3;0;1;1;2;1;2;1;1;9;0;300;915;1;5623;NA;0;NA;1;375
22;4106115;1;3;3;1;0;1;0;2;1;1;9;0;300;800;1;5611;NA;0;NA;1;300
26;4107128;1;2;3;1;0;2;0;2;1;1;9;0;300;835;1;5627;NA;0;NA;1;335
31;4107171;1;3;2;1;0;1;0;2;1;1;9;0;300;715;1;5711;NA;0;NA;1;255
38;4108125;1;1;2;0;0;1;1;2;0;1;9;0;300;745;1;5643;NA;0;NA;1;285
40;4109128;1;4;0;4;0;1;0;0;4;1;9;0;300;1915;1;5623;NA;0;NA;1;975
44;4109135;1;3;3;1;0;1;0;2;1;1;9;0;300;745;1;5211;NA;0;NA;1;285
48;4110135;1;1;3;0;0;1;0;2;0;1;9;0;300;1003;1;5616;NA;0;NA;1;423
50;4111137;1;3;1;0;0;1;0;2;0;1;9;0;300;520;1;9406;NA;0;NA;1;140
54;4111172;1;3;2;0;1;1;0;1;0;1;9;0;300;1015;1;5233;NA;0;NA;1;435
60;4116556;1;3;3;0;0;2;0;2;0;1;9;0;300;945;1;5627;NA;0;NA;1;405
64;4117143;1;3;3;2;0;2;0;2;2;1;9;0;300;800;1;5571;NA;0;NA;1;300
69;4118169;1;3;2;0;0;1;0;2;0;1;9;0;300;825;1;5527;NA;0;NA;1;325
75;4119002;1;4;3;1;0;2;0;0;1;1;9;0;300;500;1;5652;NA;0;NA;1;120
