SrNo,Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
5,3253149,2,0,1,2,0,0,0,0,2,1,9,0,300,1015,1,5652,NA,0,NA,1,435
16,4102139,1,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
17,4104110,1,3,0,1,1,2,1,2,1,1,9,0,300,915,1,5623,NA,0,NA,1,375
22,4106115,1,3,3,1,0,1,0,2,1,1,9,0,300,800,1,5611,NA,0,NA,1,300
26,4107128,1,2,3,1,0,2,0,2,1,1,9,0,300,835,1,5627,NA,0,NA,1,335
38,4108125,1,1,2,0,0,1,1,2,0,1,9,0,300,745,1,5643,NA,0,NA,1,285
40,4109128,1,4,0,4,0,1,0,0,4,1,9,0,300,1915,1,5623,NA,0,NA,1,975
48,4110135,1,1,3,0,0,1,0,2,0,1,9,0,300,1003,1,5616,NA,0,NA,1,423
60,4116556,1,3,3,0,0,2,0,2,0,1,9,0,300,945,1,5627,NA,0,NA,1,405
75,4119002,1,4,3,1,0,2,0,0,1,1,9,0,300,500,1,5652,NA,0,NA,1,120
79,4119113,1,4,2,2,0,1,1,0,2,1,9,0,300,2700,1,5628,NA,0,NA,1,1440
89,4120008,1,1,2,1,0,0,0,2,1,1,9,0,300,800,1,5644,NA,0,NA,1,300
110,4123155,1,1,2,0,0,1,0,2,0,1,9,0,300,730,1,5653,NA,0,NA,1,270
113,4123555,1,3,3,1,1,2,0,2,1,1,9,0,300,1350,1,5611,NA,0,NA,1,650
117,4124101,1,0,0,4,0,0,1,0,4,1,9,0,300,1000,1,5652,NA,0,NA,1,420
119,4124187,1,0,0,4,0,0,1,0,4,1,9,0,300,1300,1,5642,NA,0,NA,1,600
121,4124188,1,0,1,2,0,2,0,0,2,1,9,0,300,815,1,5627,NA,0,NA,1,315
123,4124553,1,3,1,0,0,1,0,2,0,1,9,0,300,845,1,5616,NA,0,NA,1,345
127,4125017,1,0,0,1,0,0,1,0,1,1,9,0,300,930,1,5643,NA,0,NA,1,390
138,4127148,1,0,0,3,0,0,1,0,3,1,9,0,300,1100,1,5616,NA,0,NA,1,480
140,4128118,1,1,3,2,0,0,0,2,2,1,9,0,300,830,1,5643,NA,0,NA,1,330
142,4129106,1,0,1,3,0,2,0,0,3,1,9,0,300,1230,1,5653,NA,0,NA,1,570
153,4130150,1,3,3,0,0,2,0,2,0,1,9,0,300,2252,1,5626,NA,0,NA,1,1192
162,4131154,1,4,1,2,0,1,0,0,2,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
183,4133162,1,1,0,2,0,1,0,2,2,1,9,0,300,930,1,5616,NA,0,NA,1,390
190,4134118,1,2,1,1,0,1,0,2,1,1,9,0,300,2700,1,5616,NA,0,NA,1,1440
195,4135109,1,0,2,1,0,2,1,0,1,1,9,0,300,1315,1,5628,NA,0,NA,1,615
202,4137145,1,1,0,2,0,1,0,1,2,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
207,4138111,1,3,3,1,2,1,1,1,1,1,9,0,300,815,1,5628,NA,0,NA,1,315
216,4142149,1,1,0,0,0,0,1,2,0,1,9,0,300,745,1,5623,NA,0,NA,1,285
226,4145015,1,0,0,3,0,0,1,0,3,1,9,0,300,1000,1,5632,NA,0,NA,1,420
228,4145103,1,2,2,2,0,1,0,2,2,1,9,0,300,740,1,5628,NA,0,NA,1,280
235,4146183,1,4,2,2,0,1,0,0,2,1,9,0,300,745,1,5628,NA,0,NA,1,285
249,4147179,1,3,3,2,3,1,0,2,2,1,9,0,300,915,1,5613,NA,0,NA,1,375
254,4149016,1,0,0,2,0,1,0,0,2,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
268,4150111,1,4,3,3,0,1,1,0,3,1,9,0,300,900,1,5624,NA,0,NA,1,360
295,4203132,2,3,3,0,0,2,0,2,0,1,9,0,300,530,1,5631,NA,0,NA,1,150
