AgentID,Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,StartTime,ET,EndTIme,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
41331360,4133136,1,3,3,2,0,2,0,2,2,2,9,0,300,180,1200,720,1,2678,1,10,0,1,630
41331361,4133136,1,3,3,2,0,2,1,1,1,2,9,0,300,180,1200,720,1,2678,1,10,0,1,630
46481560,4648156,6,1,1,1,0,1,0,2,1,2,6,0,300,180,1430,888,0,2613,2,57,195.75,1,720
31531750,3153175,1,2,1,2,0,1,0,2,2,1,9,0,300,180,645,432,1,5556,,0,,1,225
31531751,3153175,1,2,1,2,0,1,1,0,2,1,9,0,300,180,745,492,1,5556,,0,,1,285
32531490,3253149,2,0,1,2,0,0,0,0,2,1,9,0,300,180,1015,624,1,5652,,0,,1,435
33511470,3351147,3,1,1,1,0,1,0,2,1,1,9,0,300,180,730,468,1,5017,,0,,1,270
34511300,3451130,4,3,3,1,3,1,0,2,1,1,9,0,300,180,815,504,1,2718,,0,,1,315
34511301,3451130,4,3,3,1,3,1,1,1,1,1,9,0,300,180,630,408,1,2718,,0,,1,210
41021391,4102139,1,0,0,4,0,0,1,0,4,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
41041101,4104110,1,3,0,1,1,2,1,2,1,1,9,0,300,180,915,564,1,5623,,0,,1,375
41041100,4104110,1,3,0,1,1,2,0,2,0,1,9,0,300,180,1310,796,1,5623,,0,,1,610
41061150,4106115,1,3,3,1,0,1,0,2,1,1,9,0,300,180,800,480,1,5611,,0,,1,300
41061151,4106115,1,3,3,1,0,1,1,1,1,1,9,0,300,180,800,480,1,5611,,0,,1,300
41071280,4107128,1,2,3,1,0,2,0,2,1,1,9,0,300,180,835,536,1,5627,,0,,1,335
41071281,4107128,1,2,3,1,0,2,1,0,1,1,9,0,300,180,1345,852,1,5627,,0,,1,645
41071710,4107171,1,3,2,1,0,1,0,2,1,1,9,0,300,180,715,444,1,5711,,0,,1,255
41071711,4107171,1,3,2,1,0,1,1,1,1,1,9,0,300,180,1300,780,1,5711,,0,,1,600
41081251,4108125,1,1,2,0,0,1,1,2,0,1,9,0,300,180,745,492,1,5643,,0,,1,285,
41091280,4109128,1,4,0,4,0,1,0,0,4,1,9,0,300,180,1915,1164,1,5623,,0,,1,975
41091281,4109128,1,4,0,4,0,1,1,0,3,1,9,0,300,180,1530,948,1,5623,,0,,1,750
41091350,4109135,1,3,3,1,0,1,0,2,1,1,9,0,300,180,745,492,1,5211,,0,,1,285
41091351,4109135,1,3,3,1,0,1,1,2,1,1,9,0,300,180,715,444,1,5211,,0,,1,255
41101350,4110135,1,1,3,0,0,1,0,2,0,1,9,0,300,180,1003,604,1,5616,,0,,1,423
41111370,4111137,1,3,1,0,0,1,0,2,0,1,9,0,300,180,520,332,1,9406,,0,,1,140
41111371,4111137,1,3,1,0,0,1,1,2,0,1,9,0,300,180,745,492,1,9406,,0,,1,285
41111720,4111172,1,3,2,0,1,1,0,1,0,1,9,0,300,180,1015,624,1,5233,,0,,1,435
41111721,4111172,1,3,2,0,1,1,1,1,0,1,9,0,300,180,940,604,1,5233,,0,,1,400
41165560,4116556,1,3,3,0,0,2,0,2,0,1,9,0,300,180,945,612,1,5627,,0,,1,405
41165561,4116556,1,3,3,0,0,2,1,2,0,1,9,0,300,180,945,612,1,5627,,0,,1,405
41171430,4117143,1,3,3,2,0,2,0,2,2,1,9,0,300,180,800,480,1,5571,,0,,1,300
41171431,4117143,1,3,3,2,0,2,1,1,2,1,9,0,300,180,830,528,1,5571,,0,,1,330
41181690,4118169,1,3,2,0,0,1,0,2,0,1,9,0,300,180,825,520,1,5527,,0,,1,325
41181691,4118169,1,3,2,0,0,1,1,2,0,1,9,0,300,180,825,520,1,5527,,0,,1,325
41190020,4119002,1,4,3,1,0,2,0,0,1,1,9,0,300,180,500,300,1,5652,,0,,1,120
41190021,4119002,1,4,3,1,0,2,1,0,1,1,9,0,300,180,815,504,1,5652,,0,,1,315
41191131,4119113,1,4,2,2,0,1,1,0,2,1,9,0,300,180,2700,1620,1,5628,,0,,1,1440
41191130,4119113,1,4,2,2,0,1,0,0,2,1,9,0,300,180,1030,648,1,5628,,0,,1,450
41191281,4119128,1,2,3,2,0,2,1,0,2,1,9,0,300,180,1300,780,1,5682,,0,,1,600
41191280,4119128,1,2,3,2,0,2,0,2,1,1,9,0,300,180,730,468,1,5682,,0,,1,270
41200080,4120008,1,1,2,1,0,0,0,2,1,1,9,0,300,180,800,480,1,5644,,0,,1,300
41211170,4121117,1,1,1,0,0,1,0,2,0,1,9,0,300,180,1130,708,1,2517,,0,,1,510
41211680,4121168,1,2,2,1,1,2,0,2,1,1,9,0,300,180,725,460,1,4824,,0,,1,265
41211681,4121168,1,2,2,1,1,2,1,0,1,1,9,0,300,180,800,480,1,4824,,0,,1,300
41221260,4122126,1,2,2,1,3,1,0,0,1,1,9,0,300,180,700,420,1,5052,,0,,1,240
41221261,4122126,1,2,2,1,3,1,1,1,1,1,9,0,300,180,900,540,1,5052,,0,,1,360
41230171,4123017,1,1,2,1,0,1,1,2,1,1,9,0,300,180,1100,660,1,5555,,0,,1,480
41231550,4123155,1,1,2,0,0,1,0,2,0,1,9,0,300,180,730,468,1,5653,,0,,1,270
41235550,4123555,1,3,3,1,1,2,0,2,1,1,9,0,300,180,1350,860,1,5611,,0,,1,650
41235551,4123555,1,3,3,1,1,2,1,1,1,1,9,0,300,180,1350,860,1,5611,,0,,1,650
41241011,4124101,1,0,0,4,0,0,1,0,4,1,9,0,300,180,1000,600,1,5652,,0,,1,420
41241871,4124187,1,0,0,4,0,0,1,0,4,1,9,0,300,180,1300,780,1,5642,,0,,1,600
41241880,4124188,1,0,1,2,0,2,0,0,2,1,9,0,300,180,815,504,1,5627,,0,,1,315
41245530,4124553,1,3,1,0,0,1,0,2,0,1,9,0,300,180,845,552,1,5616,,0,,1,345
41245531,4124553,1,3,1,0,0,1,1,2,0,1,9,0,300,180,815,504,1,5616,,0,,1,315
41250171,4125017,1,0,0,1,0,0,1,0,1,1,9,0,300,180,930,588,1,5643,,0,,1,390
41261270,4126127,1,4,2,3,0,1,0,0,3,1,9,0,300,180,1315,804,1,5691,,0,,1,615
41261271,4126127,1,4,2,3,0,1,1,0,2,1,9,0,300,180,1315,804,1,5691,,0,,1,615
41271380,4127138,1,3,3,1,0,2,0,2,1,1,9,0,300,180,800,480,1,5709,,0,,1,300
41271381,4127138,1,3,3,1,0,2,1,2,1,1,9,0,300,180,815,504,1,5709,,0,,1,315
41271481,4127148,1,0,0,3,0,0,1,0,3,1,9,0,300,180,1100,660,1,5616,,0,,1,480
41281180,4128118,1,1,3,2,0,0,0,2,2,1,9,0,300,180,830,528,1,5643,,0,,1,330
41291060,4129106,1,0,1,3,0,2,0,0,3,1,9,0,300,180,1230,768,1,5653,,0,,1,570
41291200,4129120,1,3,2,2,3,2,0,2,2,1,9,0,300,180,1215,744,1,5582,,0,,1,555
41291201,4129120,1,3,2,2,3,2,1,2,1,1,9,0,300,180,1215,744,1,5582,,0,,1,555
41301100,4130110,1,3,3,1,3,1,0,2,1,1,9,0,300,180,715,444,1,5672,,0,,1,255
41301101,4130110,1,3,3,1,3,1,1,1,1,1,9,0,300,180,750,500,1,5672,,0,,1,290
41301500,4130150,1,3,3,0,0,2,0,2,0,1,9,0,300,180,2252,1403,1,5626,,0,,1,1192
41301501,4130150,1,3,3,0,0,2,1,2,0,1,9,0,300,180,800,480,1,5626,,0,,1,300
41311470,4131147,1,3,3,1,3,2,0,2,1,1,9,0,300,180,730,468,1,5582,,0,,1,270
41311471,4131147,1,3,3,1,3,2,1,2,1,1,9,0,300,180,815,504,1,5582,,0,,1,315
41311540,4131154,1,4,1,2,0,1,0,0,2,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
41311541,4131154,1,4,1,2,0,1,1,0,2,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
41331210,4133121,1,2,3,1,2,2,0,2,1,1,9,0,300,180,745,492,1,5684,,0,,1,285
41331211,4133121,1,2,3,1,2,2,1,0,1,1,9,0,300,180,1000,600,1,5684,,0,,1,420
41331301,4133130,1,4,2,3,0,2,1,0,3,1,9,0,300,180,900,540,1,5688,,0,,1,360
41331300,4133130,1,4,2,3,0,2,0,0,3,1,9,0,300,180,1300,780,1,5688,,0,,1,600
41331360,4133136,1,3,3,2,0,2,0,2,2,1,9,0,300,180,200,120,1,2678,,0,,1,-60
41331361,4133136,1,3,3,2,0,2,1,1,1,1,9,0,300,180,200,120,1,2678,,0,,1,-60
41331620,4133162,1,1,0,2,0,1,0,2,2,1,9,0,300,180,930,588,1,5616,,0,,1,390
41335521,4133552,1,4,2,3,0,1,1,0,3,1,9,0,300,180,730,468,1,5506,,0,,1,270
41335520,4133552,1,4,2,3,0,1,0,0,3,1,9,0,300,180,815,504,1,5506,,0,,1,315
41341180,4134118,1,2,1,1,0,1,0,2,1,1,9,0,300,180,2700,1620,1,5616,,0,,1,1440
41341841,4134184,1,1,1,1,0,2,1,2,1,1,9,0,300,180,815,504,1,5531,,0,,1,315
41351091,4135109,1,0,2,1,0,2,1,0,1,1,9,0,300,180,1315,804,1,5628,,0,,1,615
41361800,4136180,1,2,3,1,0,2,0,2,1,1,9,0,300,180,630,408,1,6581,,0,,1,210
41361801,4136180,1,2,3,1,0,2,1,0,1,1,9,0,300,180,2700,1620,1,6581,,0,,1,1440
41371450,4137145,1,1,0,2,0,1,0,1,2,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
41372630,4137263,1,2,2,1,0,2,0,2,1,1,9,0,300,180,600,360,1,8226,,0,,1,180
41372631,4137263,1,2,2,1,0,2,1,0,1,1,9,0,300,180,1015,624,1,8226,,0,,1,435
41381111,4138111,1,3,3,1,2,1,1,1,1,1,9,0,300,180,815,504,1,5628,,0,,1,315
41381110,4138111,1,3,3,1,2,1,0,2,1,1,9,0,300,180,700,420,1,5628,,0,,1,240
41382800,4138280,1,3,1,1,0,1,0,2,1,1,9,0,300,180,744,490,1,5953,,0,,1,284
41382801,4138280,1,3,1,1,0,1,1,2,0,1,9,0,300,180,744,490,1,5953,,0,,1,284
41421491,4142149,1,1,0,0,0,0,1,2,0,1,9,0,300,180,745,492,1,5623,,0,,1,285
41431170,4143117,1,3,2,0,1,1,0,2,0,1,9,0,300,180,800,480,1,5504,,0,,1,300
41431171,4143117,1,3,2,0,1,1,1,1,0,1,9,0,300,180,750,500,1,5504,,0,,1,290
41431300,4143130,1,0,3,1,3,1,0,0,1,1,9,0,300,180,1200,720,1,5591,,0,,1,540
41450151,4145015,1,0,0,3,0,0,1,0,3,1,9,0,300,180,1000,600,1,5632,,0,,1,420
41451030,4145103,1,2,2,2,0,1,0,2,2,1,9,0,300,180,740,484,1,5628,,0,,1,280
41451031,4145103,1,2,2,2,0,1,1,0,2,1,9,0,300,180,2700,1620,1,5628,,0,,1,1440
41451411,4145141,1,2,3,2,0,1,1,0,2,1,9,0,300,180,845,552,1,4822,,0,,1,345
41451410,4145141,1,2,3,2,0,1,0,2,2,1,9,0,300,180,615,384,1,4822,,0,,1,195
41461830,4146183,1,4,2,2,0,1,0,0,2,1,9,0,300,180,745,492,1,5628,,0,,1,285
41461831,4146183,1,4,2,2,0,1,1,0,2,1,9,0,300,180,1230,768,1,5628,,0,,1,570
41471170,4147117,1,2,1,2,0,2,0,2,2,1,9,0,300,180,820,512,1,6212,,0,,1,320
41471171,4147117,1,2,1,2,0,2,1,0,2,1,9,0,300,180,1850,1160,1,6212,,0,,1,950
41471790,4147179,1,3,3,2,3,1,0,2,2,1,9,0,300,180,915,564,1,5613,,0,,1,375
41471791,4147179,1,3,3,2,3,1,1,2,1,1,9,0,300,180,700,420,1,5613,,0,,1,240
41490160,4149016,1,0,0,2,0,1,0,0,2,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
41491010,4149101,1,3,3,1,1,2,0,2,1,1,9,0,300,180,700,420,1,6333,,0,,1,240
